NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,NOMBRE_SERVICIO,ESTADO_DEL_VEHICULO,NOMBRE_DE_LA_CLASE,FECHA DE REGISTRO,CANTIDAD
BOYACA,SANTA ROSA DE VITERBO,PARTICULAR,ACTIVO,CAMIONETA,1933,1
CAUCA,TIMBIO,PUBLICO,ACTIVO,CAMION,1933,1
CESAR,VALLEDUPAR,PARTICULAR,ACTIVO,AUTOMOVIL,1933,1
CUNDINAMARCA,CAQUEZA,NO REGISTRA,ACTIVO,SEMIREMOLQUE,1933,1
CUNDINAMARCA,CHOCONTA,PARTICULAR,ACTIVO,AUTOMOVIL,1933,1
CUNDINAMARCA,UBATE,PARTICULAR,ACTIVO,CAMIONETA,1933,1
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1933,1
SANTANDER,FLORIDABLANCA,PARTICULAR,ACTIVO,AUTOMOVIL,1933,1
VALLE DEL CAUCA,JAMUNDI,PARTICULAR,ACTIVO,MOTOCICLETA,1933,1
VALLE DEL CAUCA,PALMIRA,PARTICULAR,ACTIVO,MOTOCICLETA,1933,1
VALLE DEL CAUCA,TULUA,PARTICULAR,ACTIVO,MOTOCICLETA,1933,1
ANTIOQUIA,ENVIGADO,PARTICULAR,ACTIVO,AUTOMOVIL,1934,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1934,5
ANTIOQUIA,SAN JERONIMO,PUBLICO,ACTIVO,CAMION,1934,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1934,31
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMION,1934,2
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMIONETA,1934,4
CALDAS,LA DORADA,PARTICULAR,ACTIVO,CAMIONETA,1934,1
CALDAS,RIOSUCIO,PARTICULAR,ACTIVO,CAMPERO,1934,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,CAMPERO,1934,1
VALLE DEL CAUCA,CALI,PARTICULAR,ACTIVO,AUTOMOVIL,1934,1
VALLE DEL CAUCA,JAMUNDI,PARTICULAR,ACTIVO,AUTOMOVIL,1934,1
ANTIOQUIA,ITAGUI,PARTICULAR,ACTIVO,AUTOMOVIL,1935,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1935,5
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,CAMIONETA,1935,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1935,8
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMIONETA,1935,2
CAUCA,PUERTO TEJADA,PARTICULAR,ACTIVO,AUTOMOVIL,1935,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,AUTOMOVIL,1935,1
SANTANDER,FLORIDABLANCA,PARTICULAR,ACTIVO,AUTOMOVIL,1935,1
SANTANDER,GIRON,PARTICULAR,ACTIVO,AUTOMOVIL,1935,1
VALLE DEL CAUCA,JAMUNDI,PARTICULAR,ACTIVO,AUTOMOVIL,1935,1
ANTIOQUIA,ANDES,PUBLICO,ACTIVO,BUS,1936,1
ANTIOQUIA,ENVIGADO,PARTICULAR,ACTIVO,CAMION,1936,1
ANTIOQUIA,MEDELLIN,PARTICULAR,ACTIVO,AUTOMOVIL,1936,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1936,5
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMION,1936,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMPERO,1936,1
BOGOTA D.C.,BOGOTA,OFICIAL,ACTIVO,AUTOMOVIL,1936,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1936,27
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,BUSETA,1936,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMION,1936,3
BOGOTA D.C.,BOGOTA,PUBLICO,ACTIVO,CAMION,1936,1
BOGOTA D.C.,BOGOTA,PUBLICO,ACTIVO,CAMIONETA,1936,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMIONETA,1936,5
CAUCA,MIRANDA,PARTICULAR,ACTIVO,MOTOCICLETA,1936,1
CUNDINAMARCA,FUSAGASUGA,PARTICULAR,ACTIVO,AUTOMOVIL,1936,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,AUTOMOVIL,1936,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,CAMION,1936,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,AUTOMOVIL,1936,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,BUSETA,1936,1
SUCRE,SAMPUES,PARTICULAR,ACTIVO,MOTOCICLETA,1936,2
VALLE DEL CAUCA,FLORIDA,PARTICULAR,ACTIVO,AUTOMOVIL,1936,1
VALLE DEL CAUCA,GUADALAJARA DE BUGA,PARTICULAR,ACTIVO,AUTOMOVIL,1936,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1937,4
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,CAMION,1937,1
ANTIOQUIA,SAN JERONIMO,PUBLICO,ACTIVO,CAMIONETA,1937,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,CAMIONETA,1937,2
BOGOTA D.C.,BOGOTA,OFICIAL,ACTIVO,AUTOMOVIL,1937,2
BOGOTA D.C.,BOGOTA,PUBLICO,ACTIVO,AUTOMOVIL,1937,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1937,48
BOGOTA D.C.,BOGOTA,PUBLICO,ACTIVO,CAMION,1937,3
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMION,1937,4
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMIONETA,1937,12
BOGOTA D.C.,BOGOTA,PUBLICO,ACTIVO,CAMIONETA,1937,1
CAQUETA,BELEN DE LOS ANDAQUIES,PARTICULAR,ACTIVO,CAMPERO,1937,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,AUTOMOVIL,1937,1
CUNDINAMARCA,EL ROSAL,PUBLICO,ACTIVO,CAMION,1937,1
CUNDINAMARCA,SESQUILE,PARTICULAR,ACTIVO,AUTOMOVIL,1937,1
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,CAMION,1937,1
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1937,2
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,AUTOMOVIL,1937,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,MICROBUS,1937,1
ANTIOQUIA,GIRARDOTA,PARTICULAR,ACTIVO,CAMION,1938,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1938,10
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,BUS,1938,1
ANTIOQUIA,SAN JERONIMO,PUBLICO,ACTIVO,BUS,1938,3
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,CAMION,1938,1
