DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD
GUAJIRA,RIOHACHA (CT),44001,AUTOMOVIL,2010-01-12,1
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-12,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMION,2010-01-12,1
SANTANDER,BARBOSA,68077,AUTOMOVIL,2010-01-12,1
CAUCA,POPAYAN (CT),19001,MOTOCICLETA,2010-01-13,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-13,1
VALLE,ROLDANILLO,76622,MOTOCICLETA,2010-01-13,1
NARINO,PASTO (CT),52001,MOTOCICLETA,2010-01-13,1
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-13,1
VALLE,FLORIDA,76275,MOTOCICLETA,2010-01-13,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-13,1
VALLE,TULUA,76834,MOTOCICLETA,2010-01-13,1
CAUCA,PURACE,19585,MOTOCICLETA,2010-01-13,1
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-13,1
ANTIOQUIA,BARBOSA,50790,MOTOCICLETA,2010-01-13,1
CASANARE,MANI,85139,MOTOCICLETA,2010-01-13,1
SUCRE,SINCELEJO (CT),70001,MOTOCICLETA,2010-01-13,1
HUILA,NEIVA (CT),41001,MOTOCICLETA,2010-01-13,1
VALLE,PALMIRA,76520,MOTOCICLETA,2010-01-13,1
