DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD,TIPO_VEHICULO,AÑO,CODIGO_DANE_MUNICIPIO
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,76001
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,76001
SAN ANDRES,SAN ANDRES (CT),88001,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,88001
CUNDINAMARCA,SOACHA,25754,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,25754
CORDOBA,TIERRALTA,23807,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,23807
CORDOBA,CERETE,23162,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,23162
BOYACA,PUERTO BOYACA,15572,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,15572
CAUCA,PAEZ,19517,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,19517
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,50010
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,50880
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,11001
GUAJIRA,MAICAO,44430,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,44430
CAUCA,SANTANDER DE QUILICHAO,19698,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,19698
ATLANTICO,MALAMBO,84330,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,84330
ANTIOQUIA,SAN PEDRO DE URABA,56650,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,56650
MAGDALENA,SANTA MARTA (CT),47001,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,47001
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,23660
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-09,1,MOTOCICLETA,2010,80010
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-09,1,AUTOMOTOR,2010,50010
ANTIOQUIA,MEDELLIN (CT),50010,CAMION,2010-01-09,1,AUTOMOTOR,2010,50010
CAQUETA,FLORENCIA (CT),18001,CAMION,2010-01-09,1,AUTOMOTOR,2010,18001
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-09,1,AUTOMOTOR,2010,50010
